transcript	WormBaseGeneID	GeneName	biotype	strain	expression
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	AB1	1.10185898060293
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	BRC20067	0.332445401006529
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	BRC20263	1.40171124295758
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CB4852	1.48250395625955
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CB4855	1.60187496024487
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CB4856	1.40973827747678
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CB4857	1.64539842751168
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CB4858	1.70581428014209
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11254	2.77188799208011
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11262	1.51235778203072
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11264	2.12385415551161
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11271	1.74868348963512
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11276	1.80125055255108
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11285	1.62481007844066
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11292	1.41712523877676
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11307	1.99484185766126
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11314	1.22770042397509
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	CX11315	1.70503100981408
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	DL200	1.49703483698116
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	DL226	1.51179026565754
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	DL238	1.27864904300655
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA189	2.26957669093995
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA348	1.04409110651637
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA349	1.6372363983149
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA363	0.448326774154904
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA372	1.3853258764083
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA592	1.57159854449314
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA594	1.68322746532213
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA703	1.71973024562617
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA705	1.96066333035967
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA710	2.25404527701315
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA738	1.35554688097599
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA743	1.66606078160214
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA745	1.76557463017476
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA777	2.11196647375229
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA812	2.20842214756087
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ECA923	1.74718444911141
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3005	1.59932715905775
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3012	1.57316762913316
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3017	1.03857887421713
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3040	1.24263659678371
C36A4.11.1	WBGene00044167	C36A4.11	mRNA	ED3048	1.01304744072961
